Unnamed: 0,name,win,pick,ban,win rank,pick rank,ban rank,title count,title count rank
112,이렐리아,50.5,11.29,42.8,113,19,4,1004,1
149,신드라,48.15,3.86,0.73,150,70,97,848,2
82,세트,51.07,11.85,13.02,83,15,25,832,3
76,리신,51.19,27.74,44.49,77,2,3,699,4
150,제이스,48.08,7.18,2.33,151,42,58,569,5
151,라이즈,47.98,4.99,0.8,152,55,92,475,6
37,오른,51.86,3.89,0.47,37,69,113,436,7
121,트위스티드페이트,50.05,4.17,0.38,122,65,117,399,8
95,르블랑,50.78,13.11,37.25,98,12,7,392,9
125,이즈리얼,49.89,38.1,20.59,126,1,15,390,10
108,비에고,50.6,15.58,33.59,109,6,8,385,11
140,오리아나,48.87,3.07,0.17,141,94,131,336,12
138,레넥톤,49.02,5.8,6.52,139,50,35,314,13
146,아지르,48.71,1.2,0.1,147,141,145,305,14
23,트런들,52.31,3.53,0.98,24,77,86,302,15
152,아칼리,47.51,3.76,5.08,153,72,37,268,16
67,룰루,51.3,14.5,26.88,68,7,11,259,17
7,애쉬,53.17,19.31,3.38,8,3,47,255,18
154,그웬,46.88,3.17,13.94,155,91,24,250,19
63,케넨,51.37,3.6,0.73,64,76,96,248,20
147,자야,48.68,3.04,0.12,148,96,139,240,21
17,오공,52.56,3.48,1.45,18,78,70,239,22
9,탐켄치,53.01,9.97,38.8,10,27,6,235,23
13,레오나,52.77,12.55,39.92,14,13,5,229,24
26,신짜오,52.22,10.7,22.41,27,24,13,220,25
107,나르,50.61,3.66,1.4,108,74,72,214,26
28,카밀,52.11,10.08,7.56,29,25,33,211,27
103,쓰레쉬,50.69,18.55,15.71,104,5,22,210,28
143,갱플랭크,48.82,1.86,0.97,144,121,87,207,29
135,아크샨,49.48,6.85,19.65,136,46,16,199,30
127,사일러스,49.65,13.12,16.03,128,11,19,197,31
1,직스,54.28,10.81,27.15,2,23,10,195,32
29,브라움,52.09,3.05,0.18,30,95,128,191,33
153,루시안,46.93,6.19,4.51,154,49,41,189,34
137,바루스,49.25,4.84,0.71,138,57,100,184,35
132,누누와윌럼프,49.55,3.29,1.19,133,85,80,180,36
113,니달리,50.49,9.37,3.9,114,32,44,150,37
90,진,50.89,10.02,0.33,91,26,120,144,38
104,트위치,50.66,3.24,0.72,105,89,99,137,39
102,다리우스,50.69,4.88,8.78,103,56,29,133,40
54,피오라,51.57,11.21,14.78,55,20,23,132,41
51,야스오,51.62,11.17,16.85,52,21,18,125,42
141,유미,48.87,9.67,3.93,142,28,43,125,43
128,카이사,49.62,18.84,1.61,129,4,68,122,44
85,트리스타나,50.99,4.39,0.98,86,61,85,112,45
131,그레이브즈,49.57,11.54,5.03,132,17,38,109,46
12,베인,52.83,14.34,10.57,13,8,27,102,47
101,올라프,50.71,1.13,0.7,102,144,101,101,48
97,제드,50.78,14.09,49.89,97,9,1,99,49
119,다이애나,50.15,12.38,7.71,120,14,32,99,50
87,말파이트,50.95,6.52,10.47,88,47,28,95,51
68,카타리나,51.29,9.42,24.36,69,31,12,95,52
129,칼리스타,49.61,2.58,0.45,130,109,115,93,53
32,가렌,52.06,3.84,1.82,33,71,66,91,54
74,잭스,51.23,5.43,2.63,75,54,51,87,55
124,릴리아,50,2.71,0.59,125,106,105,85,56
110,모데카이저,50.55,4,1.92,111,68,64,84,57
116,요네,50.35,9.09,5.63,117,33,36,82,58
8,탈론,53.01,7.18,8.1,9,43,31,79,59
96,징크스,50.78,9.57,0.53,96,29,108,79,60
